"","original.name","taxonomic.status","accepted.name"
"1","Neptunia monosperma","Accepted","Neptunia monosperma"
"2","Parkia timoriana","Accepted","Parkia timoriana"
"3","Anadenanthera colubrina","Accepted","Anadenanthera colubrina"
"4","Vachellia farnesiana","Accepted","Vachellia farnesiana"
"5","Piptadenia viridiflora","Synonym","Lachesiodendron viridiflorum"
"6","Pseudopiptadenia brenanii","Accepted","Pseudopiptadenia brenanii"
"7","Pityrocarpa obliqua","Accepted","Pityrocarpa obliqua"
"8","Pityrocarpa moniliformis","Accepted","Pityrocarpa moniliformis"
"9","Pityrocarpa leucoxylon","Accepted","Pityrocarpa leucoxylon"
"10","Microlobius foetidus","Accepted","Microlobius foetidus"
"11","Stryphnodendron polystachyum","Accepted","Stryphnodendron polystachyum"
"12","Stryphnodendron moricolor","Accepted","Stryphnodendron moricolor"
"13","Stryphnodendron fissuratum","Accepted","Stryphnodendron fissuratum"
"14","Stryphnodendron coriaceum","Accepted","Stryphnodendron coriaceum"
"15","Stryphnodendron paniculatum","Accepted","Stryphnodendron paniculatum"
"16","Stryphnodendron racemiferum","Accepted","Stryphnodendron racemiferum"
"17","Stryphnodendron occhionianum","Accepted","Stryphnodendron occhionianum"
"18","Stryphnodendron duckeanum","Accepted","Stryphnodendron duckeanum"
"19","Stryphnodendron foreroi","Accepted","Stryphnodendron foreroi"
"20","Stryphnodendron microstachys",NA,Stryphnodendron microstachyum
"21","Stryphnodendron sp",NA,NA
"22","Stryphnodendron porcatum","Accepted","Stryphnodendron porcatum"
"23","Stryphnodendron rotundifolium","Accepted","Stryphnodendron rotundifolium"
"24","Stryphnodendron pulcherrimum","Accepted","Stryphnodendron pulcherrimum"
"25","Stryphnodendron gracile",NA,NA
"26","Stryphnodendron polyphyllum","Accepted","Stryphnodendron polyphyllum"
"27","Stryphnodendron cristalinae","Accepted","Stryphnodendron cristalinae"
"28","Stryphnodendron heringeri","Accepted","Stryphnodendron heringeri"
"29","Stryphnodendron guianense","Accepted","Stryphnodendron guianense"
"30","Stryphnodendron velutinum",NA,NA
"31","Stryphnodendron roseiflorum","Accepted","Stryphnodendron roseiflorum"
"32","Stryphnodendron adstringens","Accepted","Stryphnodendron adstringens"
"33","Stryphnodendron rotundifolium villosum",NA,NA
"34","Stryphnodendron pumilum",NA,NA
"35","Stryphnodendron obovatum","Accepted","Stryphnodendron obovatum"
"36","Parapiptadenia excelsa","Accepted","Parapiptadenia excelsa"
"37","Parapiptadenia pterosperma","Accepted","Parapiptadenia pterosperma"
"38","Parapiptadenia zehntneri","Accepted","Parapiptadenia zehntneri"
"39","Parapiptadenia rigida","Accepted","Parapiptadenia rigida"
"40","Pseudopiptadenia bahiana","Accepted","Pseudopiptadenia bahiana"
"41","Pseudopiptadenia contorta","Accepted","Pseudopiptadenia contorta"
"42","Pseudopiptadenia suaveolens","Accepted","Pseudopiptadenia suaveolens"
"43","Pseudopiptadenia psilostachya","Accepted","Pseudopiptadenia psilostachya"
"44","Senegalia nigrescens","Accepted","Senegalia nigrescens"
"45","Inga edulis","Accepted","Inga edulis"
"46","Piptadenia floribunda","Accepted","Piptadenia floribunda"
"47","Piptadenia buchtienii","Accepted","Piptadenia buchtienii"
"48","Piptadenia sp",NA,NA
"49","Piptadenia paniculata","Accepted","Piptadenia paniculata"
"50","Piptadenia peruviana","Accepted","Piptadenia peruviana"
"51","Piptadenia irwinii","Accepted","Piptadenia irwinii"
"52","Piptadenia gonoacantha","Accepted","Piptadenia gonoacantha"
"53","Piptadenia macradenia","Accepted","Piptadenia macradenia"
"54","Piptadenia flava","Synonym","Piptadenia retusa"
"55","Piptadenia stipulacea","Accepted","Piptadenia stipulacea"
"56","Piptadenia adiantoides","Accepted","Piptadenia adiantoides"
"57","Piptadenia pteroclada","Accepted","Piptadenia pteroclada"
"58","Piptadenia robusta","Accepted","Piptadenia robusta"
"59","Mimosa colombiana","Accepted","Mimosa colombiana"
"60","Mimosa myriadenia","Accepted","Mimosa myriadenia"
"61","Mimosa palmeri","Accepted","Mimosa palmeri"
"62","Mimosa ceratonia ceratonia",NA,NA
"63","Mimosa boliviana","Accepted","Mimosa boliviana"
"64","Mimosa ursina","Accepted","Mimosa ursina"
"65","Mimosa pigra","Accepted","Mimosa pigra"
"66","Mimosa minarum","Accepted","Mimosa minarum"
"67","Mimosa candollei","Accepted","Mimosa candollei"
"68","Mimosa gracilis invisiformis",NA,NA
