"name_phylogeny","shorter_diameter_min","shorter_diameter_max","shorter_diameter_mean","longer_diameter_min","longer_diameter_max","longer_diameter_mean","exine_thickness_min","exine_thickness_max","exine_thickness_mean"
"Anadenanthera_colubrina","32.5","47.5","39","32.5","47.5","38.8","2","2","2"
"Gwilymia_coriacea","30.8","30.8","30.8","34.1","34.1","34.1","1","1","1"
"Gwilymia_fissurata","40.5","NA","40.5","NA","58.6","63.3","NA","NA","1.8"
"Gwilymia_moricolor","44.5","44.5","44.5","57.6","57.6","57.6","1.5","2","1.75"
"Gwilymia_occhioniana","31.1","31.1","31.1","47.9","47.9","47.9","1.4","2","1.7"
"Gwilymia_paniculata","36.2","36.2","NA","44.5","44.5","44.5","1.5","2","1.75"
"Gwilymia_polystachya","32","32","34.1","46.6","46.6","46.6","1.4","2","1.7"
"Gwilymia_racemifera","35.4","35.4","34.1","55","55","55","1.5","2","1.75"
"Inga_edulis","50","50","50","100","100","100","1.7","1.7","1.7"
"Lachesiodendron_viridiflorum","18","32","24.071","26","44","35.739","0.66","1.044","0.852"
"Marlimorimia_bahiana","27.5","37.5","32.7","30","50","40.575","1","1","1"
"Marlimorimia_contorta","16.872","37.5","27.513","30","47.5","37.52","0.209","0.376","0.293"
"Marlimorimia_psilostachya","NA","NA","NA","NA","NA","40","NA","NA","NA"
"Marlimorimia_warmingii","33.6","42","37.8","40","52.5","46.25","NA","NA","2.5"
"Microlobius_foetidus","14.038","21.8","17.275","18.232","33.311","24.679","0.148","0.295","0.222"
"Mimosa_irrigua","12","14","13.1","17.5","20","18.5","1","1","1"
"Mimosa_lepidophora","16","21","18.6","21","24","22.7","1.1","1.1","1.1"
"Mimosa_pithecolobioides","14","21.328","16.969","21","25","23.174","0.144","1","0.307"
"Mimosa_watsonii","14.54","14.54","14.54","20.7","20.7","20.7","0.75","0.75","0.75"
"Naiadendron_duckeanum","26.3","26.3","26.3","36.6","36.6","36.6","0.8","1","0.9"
"Parapiptadenia_blanchetii","22.5","30","26.3","25","47.5","31.275","1","1","1"
"Parapiptadenia_excelsa","NA","NA","NA","NA","NA","36","NA","NA","NA"
"Parapiptadenia_pterosperma","25","35","29.1","31.5","40","37.55","NA","NA","2"
"Parapiptadenia_rigida","NA","NA","NA","NA","NA","30","NA","NA","NA"
"Parapiptadenia_zehntneri","20","32.5","26","23.8","37.5","30.4","1","1.1","1.05"
"Piptadenia_adiantoides","12.255","24","18.975","18","26","22.59","0.467","0.635","0.551"
"Piptadenia_floribunda","NA","NA","NA","NA","NA","42","NA","NA","NA"
"Piptadenia_gonoacantha","NA","NA","NA","NA","NA","38","NA","NA","NA"
"Piptadenia_irwinii","15","25","18.733","17.5","25","23.133","1","1","1"
"Piptadenia_paniculata","24.103","27.08","25.699","30.91","42.08","35.592","0.418","0.669","0.544"
"Piptadenia_stipulacea","17.5","21.2","19.3","22.5","30","23.4","1","1","1"
"Pityrocarpa_brenanii","19.248","37.5","27.993","27.5","47.5","33.759","0.233","0.467","0.35"
"Pityrocarpa_inaequalis","NA","NA","NA","NA","NA","43","NA","NA","NA"
"Pityrocarpa_leptostachya","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"Pityrocarpa_moniliformis","13","34.1","18.25","17","30.8","21.817","1","1","1"
"Pityrocarpa_obliqua","22.5","27.5","26","27.5","35","30.6","1","1","1"
"Pityrocarpa_obliqua_brasiliensis","22.5","27.5","25.5","25","37.5","32.15","NA","NA","NA"
"Pityrocarpa_schumanniana","NA","NA","NA","NA","NA","42","NA","NA","NA"
"Senegalia_nigrescens","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"Stryphnodendron_adstringens","20.046","26.361","23.114","24.6","38.269","31.678","0.202","1","0.605"
"Stryphnodendron_cristalinae","27","27","27","34.1","34.1","34.1","0.8","1.3","1.05"
"Stryphnodendron_gracile","34.1","34.1","34.1","30.8","30.8","30.8","1","1","1"
"Stryphnodendron_polyphyllum","24.2","24.2","34.1","24.6","36.6","32.4","0.8","1","0.9"
"Vachellia_farnesiana","29.721","39.99","36.244","35.903","42.614","39.587","0.861","1.476","1.169"
