name_phylogeny,N_grains,DU_Organization,Pollen_Arrangements,bitetrad_presence,DU_planes,Outline,Aperture,Grains_cohesion,SEM_Ornamentation,pore_number
Adenopodia_gymnantha,16,,,-,,elliptical_&_oval,,,verrucate-scabrate,
Adenopodia_oaxacana,16,,,-,,elliptical_&_oval,,,verrucate-scabrate,
Anadenanthera_colubrina,16,,regular_arangement_polyad,-,multiplanar,circular_&_elliptical,,,areolate_&_rugulate,
Anadenanthera_colubrina_cebil,12_&_16,,regular_arangement_polyad,-,,elliptical_&_oval,,,areolate_&_verrucate,
Anadenanthera_colubrina_colubrina,16,,,-,,,,,areolate,4&6
Anadenanthera_peregrina,16_&_12,,regular_arangement_polyad,-,,elliptical_&_oval,,,areolate,
Inga_edulis,32,,,-,,,,,verrucate,
Lachesiodendron_viridiflorum,8,,tetrahedral,present,,,,,verrucate,
Microlobius_foetidus,8,,tetrahedral,present,multiplanar,oval,,,verrucate-scabrate,
Mimosa_acantholoba,8,,rhomboidal,present,multiplanar,,,,verrucate,
Mimosa_acutistipula,8,,rhomboidal,present,multiplanar,elliptical,,,verrucate,
Mimosa_acutistipula_acutistipula,8,,rhomboidal_&_tetrahedral,present,multiplanar,,,,areolate_&_verrucate,
Mimosa_adenocarpa,4,,decussate_&_tetrahedral,-,multiplanar,circular_&_elliptical,,,verrucate-scabrate,4
Mimosa_adenophylla,4,,,-,,elliptical,,,verrucate-scabrate,
Mimosa_adenophylla_armandiana,2_&_4,,decussate_&_rhomboidal,-,multiplanar_&_uniplanar,,,,areolate_&_verrucate,
Mimosa_adenophylla_mitis,2_&_4,,decussate_&_rhomboidal,-,multiplanar_&_uniplanar,,,,areolate_&_verrucate,
Mimosa_adenotricha,4,,decussate_&_tetrahedral,-,multiplanar,elliptical,,,areolate_&_verrucate-scabrate,4
Mimosa_aguapeia,4,,rhomboidal,-,uniplanar,elliptical,,,areolate,4
Mimosa_albolanata_brasiliana,4,,decussate,-,multiplanar,elliptical,,,areolate,4
Mimosa_amnis_atri,4,,rhomboidal,-,uniplanar,elliptical,,,,
Mimosa_apodocarpa,4,,rhomboidal,-,uniplanar,elliptical,,,,
Mimosa_arenosa,8,,rhomboidal_&_tetragonal,present,multiplanar,,,,,3&4&5
Mimosa_arenosa_arenosa,8,,rhomboidal,present,multiplanar,,,,areolate_&_verrucate,
Mimosa_artemisiana,4,,,-,,elliptical,,,,
Mimosa_aurivillus_aurivillus,4,,decussate_&_tetrahedral,-,multiplanar,,,,,
Mimosa_bimucronata,8,,decussate,present,multiplanar,,,,rugulate,3&4
Mimosa_bimucronata_bimucronata,8,,,present,multiplanar,,,,areolate_&_verrucate,
Mimosa_borboremae,4,,decussate_&_tetrahedral,-,multiplanar,,,,areolate_&_verrucate,3&4
