name_phylogeny,sd_min,sd_max,sd_mean,ld_min,ld_max,ld_mean,pd_min,pd_max,et_min,et_max,et_mean,st_mean,nt_mean
Adenopodia_gymnantha,,,,,,28.000,,,,,,,
Adenopodia_oaxacana,,,,,,31.000,,,,,,,
Anadenanthera_colubrina,32.500,47.500,39.000,32.500,47.500,38.800,,,2.000,2.000,2.000,1.000,1.000
Anadenanthera_colubrina_cebil,30.000,40.000,35.067,30.000,42.500,37.780,,,2.000,2.000,2.000,,
Anadenanthera_colubrina_colubrina,30.900,37.500,33.900,33.300,41.200,37.200,,,2.500,2.500,2.500,1.500,1.000
Anadenanthera_peregrina,22.500,35.000,29.767,20.000,47.500,34.550,,,1.000,1.000,1.000,,
Inga_edulis,50.000,50.000,50.000,100.000,100.000,100.000,,,1.700,1.700,1.700,,
Lachesiodendron_viridiflorum,18.000,32.000,24.071,26.000,44.000,35.739,1.036,1.626,0.660,1.044,0.852,,
Microlobius_foetidus,14.038,21.800,17.275,18.232,33.311,24.679,0.330,0.753,0.148,0.295,0.222,,
Mimosa_acantholoba,7.263,9.607,8.529,10.265,14.004,12.800,0.104,0.209,0.104,0.313,0.209,,
Mimosa_acutistipula,11.000,15.000,12.100,16.000,20.000,17.900,,,,,,,
Mimosa_acutistipula_acutistipula,11.500,14.000,12.600,15.000,19.000,16.900,,,1.000,1.000,1.000,,
Mimosa_adenocarpa,7.500,15.300,11.067,10.000,21.580,14.466,0.467,0.963,0.313,0.562,0.438,,
Mimosa_adenophylla,14.000,17.000,15.500,19.000,25.000,22.000,,,,,,,
Mimosa_adenophylla_armandiana,15.000,18.000,16.400,20.000,26.000,21.500,,,1.000,1.000,1.000,,
Mimosa_adenophylla_mitis,14.000,17.000,15.400,20.000,25.000,22.000,,,1.000,1.000,1.000,,
Mimosa_adenotricha,8.800,15.000,11.936,12.094,18.700,16.338,0.701,1.191,0.209,0.467,0.338,,
Mimosa_aguapeia,15.000,20.000,18.500,20.000,27.500,24.800,,,,,,,
Mimosa_albolanata_brasiliana,12.500,15.000,13.100,17.300,25.000,20.400,,,,,,,
Mimosa_amnis_atri,10.000,16.500,13.100,11.300,17.500,12.700,,,,,,,
Mimosa_apodocarpa,10.700,17.100,14.500,12.100,18.700,14.200,,,,,,,
Mimosa_arenosa,9.600,11.500,10.100,12.500,15.400,13.800,,,,,,,
Mimosa_arenosa_arenosa,9.000,12.000,9.700,13.000,16.000,14.200,,,1.200,1.200,1.200,,
Mimosa_artemisiana,11.000,20.000,15.500,14.000,39.000,25.000,,,,,,,
Mimosa_aurivillus_aurivillus,10.214,12.764,11.282,11.968,15.447,14.001,1.044,1.401,0.669,0.990,0.830,,
Mimosa_bimucronata,8.320,10.000,10.855,10.610,17.500,14.855,0.100,0.300,0.100,0.230,0.165,1.500,0.500
Mimosa_bimucronata_bimucronata,11.000,12.000,11.200,14.000,16.000,15.400,,,1.000,1.000,1.000,,
Mimosa_borboremae,8.000,9.000,8.700,11.000,12.500,11.900,,,0.500,0.500,0.500,,
Mimosa_caerulea,10.800,10.800,,14.000,14.000,14.000,1.600,1.600,1.060,1.060,1.060,,
Mimosa_caesalpiniifolia,9.000,10.500,9.800,12.000,13.500,12.900,,,1.000,1.000,1.000,,
Mimosa_calcicola,11.700,15.120,12.880,15.300,18.540,16.730,0.800,0.800,0.900,0.900,0.900,,
Mimosa_campicola_campicola,21.000,27.000,23.700,25.500,32.000,29.500,,,1.000,1.000,1.000,,
Mimosa_candollei,23.090,35.500,29.370,29.380,41.000,35.674,0.320,0.650,0.230,0.360,0.295,0.567,0.567
Mimosa_capito,11.200,13.800,12.700,17.700,22.500,20.100,,,,,,,
Mimosa_ceratonia,17.500,25.000,20.600,22.500,22.750,23.500,,,2.000,2.000,2.000,1.000,1.000
Mimosa_ceratonia_pseudo_obovata,10.051,12.472,10.843,13.237,14.876,14.130,0.202,0.364,0.202,0.364,0.283,,
Mimosa_claussenii_claussenii,12.500,15.000,12.900,12.500,20.000,19.800,,,,,,,
Mimosa_claussenii_claviceps,,,14.300,,,23.000,,,,,,,
Mimosa_cordistipula,21.000,23.000,21.700,25.000,28.000,26.100,,,1.000,1.000,1.000,,
Mimosa_coruscocaesia,12.500,15.600,13.800,17.800,22.500,19.700,,,,,,,
Mimosa_craspedisetosa,8.000,18.600,12.200,10.500,23.300,15.250,,,,,,,
Mimosa_cruenta,8.564,10.635,9.537,12.853,17.137,14.905,0.660,0.901,0.104,0.209,0.157,,
Mimosa_daleoides,27.000,37.800,31.270,27.900,38.700,32.540,3.550,,1.570,1.570,1.570,,
Mimosa_dalyi,11.800,14.000,13.000,14.800,17.000,15.600,,,,,,,
Mimosa_debilis_debilis,10.000,11.000,10.200,10.000,11.000,10.700,,,0.800,0.800,0.800,,
Mimosa_dichroa,8.500,9.000,8.900,10.000,11.000,10.500,,,,,,,
Mimosa_diplotricha_diplotricha,23.661,28.220,25.966,29.943,40.221,34.061,1.044,1.670,0.835,1.337,1.086,,
Mimosa_dolens_dolens,10.385,13.539,11.988,11.566,14.235,13.169,0.204,0.323,0.204,0.306,0.268,,
Mimosa_dryandroides,7.305,9.840,8.682,11.648,15.195,13.117,0.522,0.669,0.148,0.330,0.239,,
Mimosa_elliptica,20.000,22.500,22.000,27.500,32.500,27.800,,,2.000,2.000,2.000,1.000,1.000
Mimosa_ephedroides,,,,,,18.000,,,,,,,
Mimosa_exalbescens,10.000,11.000,10.500,13.000,15.000,13.800,,,0.500,0.500,0.500,,
Mimosa_fiebrigii,10.600,16.500,14.500,15.600,20.500,17.100,,,,,,,
Mimosa_filipes,17.500,22.500,20.500,20.000,25.000,21.700,,,1.100,1.100,1.100,,
Mimosa_floridana,25.000,25.000,25.000,28.000,28.000,28.000,1.300,1.300,1.300,1.300,1.300,,
Mimosa_foliolosa_brevibractea,12.000,15.000,13.000,17.500,22.500,20.100,,,,,,,
Mimosa_foliolosa_franciscana,10.900,13.000,12.500,15.500,22.500,20.600,,,,,,,
Mimosa_foliolosa_multipinna,12.500,15.000,13.100,17.500,22.500,19.700,,,,,,,
